No,User Name,Rating Bintang,Tanggal,Isi Ulasan Asli,Master Ground Truth,Prediksi ML (Naive Bayes),Confidence Score (%),Prob Positif (%),Prob Negatif (%),Status Anomali
34,Faizatul Ameliya002,5,2026-09-11,baguss dan pelayanan cepatt⭐⭐⭐⭐⭐,Positif,Positif,97.8,97.8,2,Sesuai
35,Alvin Rasta,5,2026-09-11,sangat membantu dan mempermudah respon cepat dan baik aplikasi terbaik.,Positif,Positif,99.9,99.9,0.1,Sesuai
36,Najibur Rohman,5,2026-09-11,"terbaik,sangat membantu",Positif,Positif,99.8,99.8,0.2,Sesuai
37,Alfizal Boni,5,2026-09-11,top deh,Positif,Positif,98.1,98.1,1.7,Sesuai
38,Muhammad Nafis,5,2026-09-11,pln mobile bisa lapor padam listrik,Positif,Positif,99.7,99.7,0.3,Sesuai
39,Atep Ramdhani,5,2026-09-11,PLN mobile mantap...mempermudah tentang listriknya....terbaik..,Positif,Positif,99.8,99.8,0.1,Sesuai
40,08. Dandy dzakitamodi,4,2026-09-11,sangat membantu ketika bepi pulsa,Positif,Positif,99.2,99.2,0.7,Sesuai
41,Ayu Cahyani,5,2026-09-11,Membantu saya memantau rumah yang ditinggali orang tua dari jauh. Bisa belikan pulsa atau cek tagihan kapan saja. Fitur yang sangat berarti bagi saya.,Positif,Positif,97.7,97.7,2.1,Sesuai
42,Wahyudi Bkl,5,2026-09-11,"pln mobile sangat memudahkan kami melaporkan gangguan kelistrikan 👍👍,",Positif,Positif,99.9,99.9,0.1,Sesuai
43,rudi bamboo,5,2026-09-11,Pelayanan gangguan lewat aplikasi cepat,Positif,Positif,99.4,99.4,0.5,Sesuai
44,anwarjr choirul,5,2026-09-11,"respon cepat, terimakasih",Positif,Positif,99.6,99.6,0.4,Sesuai
45,Dortia Boimau,5,2026-09-11,Dengan mubail sangat bermanfaat,Positif,Positif,98.9,98.9,1,Sesuai
46,Arjhun Arjhun,5,2026-09-11,"keren..keren..Fiturnya lengkap, mulai dari pembelian token sampai lapor gangguan. semua ada disini, dan di tanggapi dengan cepat,tepat dan penuh keramahan dari pihak pln",Positif,Positif,99.2,99.2,0.7,Sesuai
47,dilkidilkidil 31,5,2026-09-11,"Memudahkan untuk transaksi pembayaran listrik, tapi lebih enak kalo ada fitur isi saldo di plnmobile agar lebih memudahkan pembayaran tidak perlu buka mbking lagi.",Positif,Positif,98.7,98.7,1.2,Sesuai
48,mursalin xtitl,5,2026-09-11,"Semakin banyak fitur kelistrikan di aplikasi PLN MOBILE semakin mudah pelayanan PLN,transaksi tagihan,token makin mudah, tambah daya dan pasang baru lebih gampang.....",Positif,Positif,99.9,99.9,0.1,Sesuai
49,Rohyaman,5,2026-09-11,PLN mobile sangat keren sekali mantap,Positif,Positif,99.8,99.8,0.2,Sesuai
50,ciliwung,5,2026-09-11,pln mobile👍🏻👍🏻👍🏻,Positif,Positif,99.8,99.8,0.2,Sesuai
51,Bunda Hafsah,5,2026-09-11,dengan adanya pln mobile semua cepat pasang baru tmbah daya dan gangguan listrik cepat,Positif,Positif,99.8,99.8,0.2,Sesuai
52,t opan,5,2026-09-11,sangat baik,Positif,Positif,99.7,99.7,0.2,Sesuai
53,Ardirasad,5,2026-09-11,Selama memamakai aplikasi pln mobile saya merasa sangat terbantu dalam transaksi dan pelaporan kelistrikan,Positif,Positif,99.4,99.4,0.5,Sesuai
54,Mansah Fir,5,2026-09-11,kreeen gak Ribet,Negatif,Positif,89.9,89.9,9.7,Sesuai
55,Ragil Adi,5,2026-09-11,PLN Mobile jos jis respon cepat 👍👍👍👍👍,Positif,Positif,99.8,99.8,0.2,Sesuai
56,Baigon Baigon,5,2026-09-11,"sangat memudakan pelanggan, tanpa harus ke kantor pln",Positif,Positif,98.9,98.9,1,Sesuai
57,muni ruddin,5,2026-09-11,PLN mobile sangat membantu saya dalam segala permasalahan kelistrikan yg saya hadapi . serta informasi tentang kelistrikan sangat mudah dan tepat namun semakin aplikasi di perbaharui tidak menjamin semua orang bisa mudah beradab tadi dengan perubahan di PLN mobile,Positif,Positif,99.6,99.6,0.4,Sesuai
58,Dian Kardiansyah,5,2026-09-11,pln mobile selalu mudah,Positif,Positif,99.5,99.5,0.4,Sesuai
59,Muslem Muslem,5,2026-09-11,PLN mobile paling mudah untuk pembayaran tagihan listrik,Positif,Positif,99.7,99.7,0.2,Sesuai
60,SALAHSIAH,5,2026-09-11,APK SANGAT MEMBANTU SEMUA URUSAN pLN.,Positif,Positif,99.8,99.8,0.2,Sesuai
61,Muakhir Aidil,5,2026-09-11,"Aplikasi PLN Mobile sangat membantu dan penggunaan mudah, fitur selalu terupdate.....",Positif,Positif,99.9,99.9,0.1,Sesuai
62,Kang Romi,5,2026-09-11,sangat bagus utk pelaanggan,Positif,Positif,99.2,99.2,0.7,Sesuai
63,Mak Rufah,5,2026-09-11,pelayanan cepat tepat dan profesional,Positif,Positif,99.2,99.2,0.7,Sesuai
64,putri adelia,5,2026-09-11,mantappp,Positif,Positif,99.7,99.7,0.2,Sesuai
65,Bilqis,5,2026-09-11,Personalisasi kartu informasi kelistrikan pada halaman utama keren sekali,Positif,Positif,97.9,97.9,1.9,Sesuai
66,Siri Sukili,5,2026-09-11,Alhamdulillah dgn aplikasi ini sy dgn mudah mencek tagihan listrik dan semua yg berhubungan dgn kelistrikan,Positif,Positif,99.6,99.6,0.4,Sesuai
67,Khairil ril,5,2026-09-11,PLN mobil sangat membantu,Positif,Positif,99.8,99.8,0.2,Sesuai
68,Vivo Y19s,5,2026-09-11,sudah terbukti,Positif,Positif,98,98,1.8,Sesuai
69,astank 0207,1,2026-09-11,siap,Negatif,Negatif,90,10,90,Sesuai
70,WAWAN RIZKYAWAN,3,2026-09-11,Jadi bintang 5 kalau ada metode pembayaran QRIS,Netral,Positif,95.4,95.4,3.7,Sesuai
71,Nabila Nursifa,5,2026-09-11,pln. oke sukses selalu yes yes,Positif,Positif,98.4,98.4,1.4,Sesuai
72,Danz,5,2026-09-11,"bagus sekali aplikasi ini, sangat membantu",Positif,Positif,99.9,99.9,0.1,Sesuai
73,Ruzita Itaa,5,2026-09-11,pln ok,Positif,Positif,99.8,99.8,0.2,Sesuai
74,Lenny Vera,5,2026-09-11,layanan sangat baik dan praktis,Positif,Positif,99.9,99.9,0.1,Sesuai
75,Rendra Purnama,5,2026-09-11,aplikasi sangat membantu trimksh 👍,Positif,Positif,99.6,99.6,0.4,Sesuai
76,Putu adi Bintang,5,2026-09-11,aplikasi mudah digunakan untuk pelaporan masalah listrik,Positif,Positif,99.8,99.8,0.2,Sesuai
77,Mas Eko,5,2026-09-11,mantap👍👍👍👍,Positif,Positif,99.8,99.8,0.2,Sesuai
78,Ridho Lazeryanda,5,2026-09-11,beli token di apk lebih menarik krna bnyak nominal pilihanya mulai dri 5K saja,Positif,Positif,98,98,1.8,Sesuai
79,Muaz Muaz,5,2026-09-11,pln mobile utk mempermudah laporan,Positif,Positif,99.7,99.7,0.3,Sesuai
80,Zulfikar 999,5,2026-09-11,"aplikasi yang sangat membantu dalam segala hal tentang kelistrikan, terutama pembelian token listrik dan lainya",Positif,Positif,99.8,99.8,0.2,Sesuai
81,Ndase Ngelu,5,2026-09-11,Semakin josjiss,Positif,Positif,98.8,98.8,1.1,Sesuai
82,Nurfadliya Adam,5,2026-09-11,💯,Positif,Positif,98.4,98.4,1.4,Sesuai
83,Ucup Cihuy,5,2026-09-11,Sangat membantu PLN mobile. Dan mudah dimengerti. banyak promo yg menarik.,Positif,Positif,99.4,99.4,0.6,Sesuai
84,Suriadi Dalimunthe,5,2026-09-11,dengan aplikasi PLN mobile kita bisa bertransaksi dengan mudah dan gampang yes,Positif,Positif,99.6,99.6,0.4,Sesuai
85,ssa nun,5,2026-09-11,aplikasi pelayanan yang sangat membantu.di bidang kelistrikan.,Positif,Positif,99.7,99.7,0.3,Sesuai
86,Baharuddin Simanjuntak,5,2026-09-11,aplikasi ini banyak mempaat dan kegunaannya,Positif,Positif,98.7,98.7,1.2,Sesuai
87,Ahda Fikora,5,2026-09-11,"semenjak adanya apk pln mobile pembayran dri apk kita lebih mudah dan jelas krna kita biza mengrtahui angka KWh xan rincian rupiah nya, trimkalsih pln mobile",Positif,Positif,98.1,98.1,1.7,Sesuai
88,Satugi Satugi,5,2026-09-11,PLN Mobil membantu dan mempermudah kita semua,Positif,Positif,99.8,99.8,0.2,Sesuai
89,Fadilla Ilmiah,5,2026-09-11,"Pelayanan sangat baik! PLN Mobile sangat membantu, mudah digunakan, cepat, dan praktis untuk berbagai kebutuhan layanan PLN. Semoga terus ditingkatkan!",Positif,Positif,99.9,99.9,0.1,Sesuai
90,Zeena putri refdiansyah Zeena,5,2026-09-11,Tampilan baru yang lebih modern dengan navigasi yang lebih mudah digunakan,Positif,Positif,98.8,98.8,1.1,Sesuai
91,anton anton,5,2026-09-11,pelayanan nya cepat dan memuaskan,Positif,Positif,99.6,99.6,0.3,Sesuai
92,Abubakar,5,2026-09-11,sangat memudahkan dan membantu pelanggan bereh pln,Positif,Positif,99.7,99.7,0.3,Sesuai
93,amanda manata,5,2026-09-11,mantap banget aplikasinya.,Positif,Positif,99.2,99.2,0.7,Sesuai
94,Hamdani,5,2026-09-11,"Alhamdulillah dengan menggunakan aplikasi PLN mobile, semua urusan kelistrikan jadi mudah. bisa membayar tagihan, membeli token. semua lancar kita lakukan tanpa harus keluar rumah. berjaya terus PLN mobile.",Positif,Positif,99.8,99.8,0.2,Sesuai
95,Mila Zalim,5,2026-09-11,tidak pernah gagal menjadi aplikasi pilihan.,Positif,Positif,97.2,97.2,2.6,Sesuai
96,satuki Ahmad,5,2026-09-11,user friendly.,Positif,Positif,97.6,97.6,2.1,Sesuai
97,Tony Dmf,5,2026-09-11,Sangat membantu dalam menjalankan transaksi seperti beli token dan bayar tagihan listrik dan juga banyak promo'nya,Positif,Positif,99.7,99.7,0.3,Sesuai
98,Misnaya Margo,5,2026-09-11,selalu menjadi pilihan utama.,Positif,Positif,98.1,98.1,1.7,Sesuai
99,Andi Dermawan,5,2026-09-11,solusi cepat mengatasi segala kebutuhan dan keluahan kelistrikan pelanggan,Positif,Positif,98.6,98.6,1.3,Sesuai
100,anggarda Pratama,5,2026-09-11,aplikasi updatenya keren,Positif,Positif,98.4,98.4,1.4,Sesuai
101,34_ Zidane Miftahul M,5,2026-09-11,layanan sangat baik,Positif,Positif,99.8,99.8,0.2,Sesuai
102,pascal soegimin,5,2026-09-11,aplikasi PLN mobile sangat membantu 👏,Positif,Positif,99.9,99.9,0.1,Sesuai
103,RESIKO TV,5,2026-09-11,Aplikasi pln mobile ini sangat membantu dan memudahkan,Positif,Positif,100,100,0,Sesuai
104,Deni Sumarlin,5,2026-09-11,memiliki verifikasi 2 langkah.,Positif,Positif,97.5,97.5,2.2,Sesuai
105,Burhanoleng Oleng,5,2026-09-11,pln mobile mantap,Positif,Positif,99.9,99.9,0.1,Sesuai
106,Toni Muharam,5,2026-09-11,dengan adanya apk PLN mobile ini sangat membantu dan mempermudah dalam melakukan pembayaran dan pembelian token listrik,Positif,Positif,100,100,0,Sesuai
107,Muhajir Lamkaruna,5,2026-09-11,sangat puas dengan aplikasi PLN mobile,Positif,Positif,99.8,99.8,0.2,Sesuai
108,Moch Yanto,5,2026-09-11,aplikasi PLN mobile sangat membantu,Positif,Positif,100,100,0,Sesuai
109,Rian Setiawan,5,2026-09-11,"PLN MOBILE aplikasi yg sangat membantu buat pelanggan nya, apalagi versi terbaru membuat tampilan nya menjadi lebih inovatif lagi dan memudahkan buat pelanggan nya",Positif,Positif,99.4,99.4,0.6,Sesuai
110,REHMULI PURBA,5,2026-09-11,is the best,Positif,Positif,98.7,98.7,1.2,Sesuai
111,EL NINA,5,2026-09-11,Pengaduan listrik semakin mudah dengan pln mobile,Positif,Positif,99.8,99.8,0.2,Sesuai
112,Naima Omira,5,2026-09-11,terima kasih PLN dengan adanya pln mobile sangat memudahkan masyarakat untuk laporan..,Positif,Positif,99.9,99.9,0.1,Sesuai
113,Jhon K,5,2026-09-11,pelayanan cpt..,Positif,Positif,98.8,98.8,1.1,Sesuai
114,Haris Munandar,5,2026-09-11,sangat membantu,Positif,Positif,99.9,99.9,0.1,Sesuai
115,Rin Nohara,5,2026-09-11,aplikasi ini sangat membantu ketika ada masalah atau gangguan listrik di rumah dan langsung respon dari pln..,Positif,Positif,99.8,99.8,0.2,Sesuai
116,Endang Seniwati,5,2026-09-11,pln Bojonegoro kota hebaaat..,Positif,Positif,98.2,98.2,1.6,Sesuai
117,Parjok Kibot,5,2026-09-11,"semua urusan listrik mudah dengan aplikasi ini ,yok gunakan apk nya gays",Positif,Positif,99.6,99.6,0.3,Sesuai
118,Dana Agus Setiawan,5,2026-09-11,BG SATRIA SEMAKIN DI DEPAN WAHYU FINIS LUAN,Positif,Positif,97.9,97.9,1.9,Sesuai
119,M A C,5,2026-09-11,"PLN sangat membantu masyarakat dan petugas sangat ramah, dan juga tidak mau menerima imbalan berbentuk apapun..",Positif,Positif,98.8,98.8,1.1,Sesuai
120,JUNAIDI Dila,5,2026-09-11,mantap apk nya bayar listrik admin nya murah,Positif,Positif,99.2,99.2,0.7,Sesuai
121,Ponijah Giono,5,2026-09-11,Bermanfaat bagi pelanggan,Positif,Positif,99.4,99.4,0.5,Sesuai
122,Wardoyo Yoyok,5,2026-09-11,sangat mudah,Positif,Positif,99.8,99.8,0.2,Sesuai
123,Ayu Lestari,5,2026-09-11,"Terima kasih pln mobile, semua jadi mudah 👍👍",Positif,Positif,99.9,99.9,0.1,Sesuai
124,Yesi,5,2026-09-11,sangat membantu,Positif,Positif,99.9,99.9,0.1,Sesuai
125,April Liana,5,2026-09-11,petugas penyambungan ramah,Positif,Positif,98.5,98.5,1.3,Sesuai
126,Resho Dastian,5,2026-09-11,ojib,Positif,Positif,98.1,98.1,1.7,Sesuai
127,Iqbal Maulana,5,2026-09-11,"“Aplikasi PLN Mobile sangat membantu. Cek tagihan, beli token listrik, dan lapor gangguan jadi lebih mudah dan cepat. Tampilannya juga cukup simpel dan mudah digunakan. Sangat recommended!”",Positif,Positif,99.9,99.9,0,Sesuai
128,Dikaa,5,2026-09-11,"Aplikasinya sangat membantu, fiturnya lengkap, semua layanan kelistrikan ada disini. Pelayanan dan penangannannya cepat anti pending, gak pakai ribet, mudah diakses dan dipahami, cocok buat semua kalangan. Pokoknya memudahkan banget, terutama untuk bayar listrik dan pelaporan gangguan. Fitur terbarunya menarik untuk tambah daya",Negatif,Positif,95.2,95.2,4.7,Sesuai
129,Van,5,2026-09-11,"Aplikasinya benar-benar memudahkan banget buat beli token dan bayar listrik, tampilan simple semua menu mudah dipahami, bahkan untuk orang awam. Fitur-fiturnya lengkap, dari cek riwayat penggunaan sampai pengajuan gangguan juga bisa. Pelayanannya cepat dan anti pending, saya pernah komplain langsung ditangani dengan baik. Terima kasih PLN mobile fitur terbarunya baik sekali mudah dipahami",Positif,Positif,99.5,99.5,0.5,Sesuai
130,Fujji Asemmaa,5,2026-09-11,sangat puas dg apk pln mobile ini krna cepat respkn untuk membtu ktika ada listrik yg bermasalh tnpa harus telpon2 lagi,Positif,Positif,98.3,98.3,1.5,Sesuai
131,Nur OL,5,2026-09-11,aplikasi yang sangat membantu sekali untuk pasang baru pln,Positif,Positif,99.8,99.8,0.2,Sesuai
132,fisha,5,2026-09-11,"Aplikasi sangat membantu dan praktis, PLN Mobile benar-benar memudahkan segala urusan kelistrikan. Dari beli token, cek tagihan, hingga pengaduan gangguan bisa dilakukan hanya lewat satu aplikasi. Tampilan aplikasi juga bagus dan enak dilihat. Fitur pasang baru nya mudah dipahami",Positif,Positif,99.8,99.8,0.2,Sesuai
133,ansari Pandapotan Hulu,5,2026-09-11,cun x aplikasi nya,Positif,Positif,99.1,99.1,0.8,Sesuai
134,Nofrizal Rizal,5,2026-09-11,pln mobile sangat baik,Positif,Positif,100,100,0,Sesuai
135,Rizky Bagas,5,2026-09-11,terbaik,Positif,Positif,99.7,99.7,0.3,Sesuai
136,wisha,5,2026-09-11,"Aplikasi yang sangat berguna, fitur pembelian token sangat baik, bisa juga tambah daya online. Terimakasih PLN Mobile fitur terbaru tambah daya nya bagus",Positif,Positif,99.9,99.9,0.1,Sesuai
137,tisna dewi,5,2026-09-11,Mudah cek tagihan,Positif,Positif,99.7,99.7,0.3,Sesuai
138,wiro28,5,2026-09-11,"Sangat membantu! Sekarang cek tagihan listrik, beli token, sampai lapor gangguan bisa dari HP saja. Aplikasinya mudai dipakai dan fitur notifikasinya sangat informatif. Semoga kedepannya bisa lebih stabil dan cepat responnya. Fitur terbaru pasang baru & tambah daya sangat bagus",Positif,Positif,99.7,99.7,0.3,Sesuai
139,lipo lipa,5,2026-09-11,bagus sekali,Positif,Positif,99.5,99.5,0.4,Sesuai
140,feby malikaa,5,2026-09-11,"thanks pln, hidup jadi lebih mudah👍🏻👍🏻",Positif,Positif,99.5,99.5,0.4,Sesuai
141,Hq Dsant,5,2026-09-11,baik,Positif,Positif,99.7,99.7,0.3,Sesuai
142,Way Wahidin,5,2026-09-11,Sangat Membantu 👍👍,Positif,Positif,99.8,99.8,0.1,Sesuai
143,Ratna Sari,5,2026-09-11,maksih,Positif,Positif,98.1,98.1,1.7,Sesuai
144,Basss,5,2026-09-11,"Aplikasinya sangat membantu, fiturnya lengkap, semua layanan kelistrikan ada disini. Pelayanan dan penangannannya cepat anti pending, gak pakai ribet, mudah diakses dan dipahami, cocok buat semua kalangan. Pokoknya memudahkan banget, terutama untuk bayar listrik dan pelaporan gangguan. Fitur terbarunya menarik untuk tambah daya",Negatif,Positif,95.2,95.2,4.7,Sesuai
145,Vinni Triana,5,2026-09-11,"pln mobile dg versi terbaru skrng semakin safset dan oke bnget, berharap pln mobile bisa lngjang bisa top up jadi lebih praktiss",Positif,Positif,98.8,98.8,1.1,Sesuai
146,nisa impupp,5,2026-09-11,"Dengan ada nya aplikasi PLN MOBILE segala urusan semua nya mudah dari permohonan pasang baru,tambah daya,beli token,bayar listrik,bisa pengaduan gangguan dan juga bisa baca meter mandiri/swacam yang langsung muncul angka nya",Positif,Positif,99.6,99.6,0.4,Sesuai
147,krisna dimas suhendra,5,2026-09-11,pembayaran lebih mudah menggunakan PLN mobilee,Positif,Positif,99.6,99.6,0.3,Sesuai
148,indri,5,2026-09-11,"Aplikasinya benar-benar memudahkan banget buat beli token dan bayar listrik, tampilan simple semua menu mudah dipahami, bahkan untuk orang awam. Fitur-fiturnya lengkap, dari cek riwayat penggunaan sampai pengajuan gangguan juga bisa. Pelayanannya cepat dan anti pending, saya pernah komplain langsung ditangani dengan baik. Terima kasih PLN mobile fitur terbarunya baik sekali mudah dipahami",Positif,Positif,99.5,99.5,0.5,Sesuai
149,Tmo Lazuardi,5,2026-09-11,Aplikasi PLN Mobile untuk memudahkan pelanggan untuk melapor padam listrik dan lain,Positif,Positif,99.8,99.8,0.2,Sesuai
150,Setia Darma ari,5,2026-09-11,apklikasi yang sangat membantu untuk bertransaksi mau pun untuk laporan tentang keluhan kelistrikan,Positif,Positif,99.3,99.3,0.6,Sesuai
151,Syarbaini Syar,5,2026-09-11,sangat rekomendasi,Positif,Positif,97.9,97.9,1.9,Sesuai
152,Hlintul Hilal,5,2026-09-11,"aplikasi pln mobile buat pembayaran lebih cepat dan praktis dan juga kita bisa liat history pembelian kita lewat aplikasi jadi ga ilang riwayatnya, pemberitahuan info kelistrikan rumah kita juga lebih mudah didapat lewat aplikasi pln mobile.",Positif,Positif,99.3,99.3,0.6,Sesuai
153,Ebet,5,2026-09-11,semenjak ada pln mobile semua urusan jadi gampang. mantep pokoknya,Positif,Positif,99.3,99.3,0.6,Sesuai
154,Ester Silalahi,5,2026-09-11,apk pln mobile sangat membantu dalam pelaporan gangguan listrik,Positif,Positif,100,100,0,Sesuai
155,Siti Lutfiya,5,2026-09-11,kerenn!!,Positif,Positif,98.1,98.1,1.7,Sesuai
156,Rohmatul Yasir,5,2026-09-11,dengan adanya PLN Mobile saya sangat terbantu mengenai kelistrikan terimakasih PLN,Positif,Positif,99.8,99.8,0.2,Sesuai
157,Sugiok Reka,5,2026-09-11,kemudahan dalam semua pelayanan pelayanan,Positif,Positif,99.4,99.4,0.6,Sesuai
158,Cutticaci Cuca,5,2026-09-11,aplikasi pln mobile sangat memudahkan saya dalam urusan kelistrikan dirumah. sekali pencet banyak sekali informasi yang saya dapatkan dan amat sangat memudahkan saya sebagai pelanggan dalam membayar tagihan ataupun pengaduan terkait masalah yang saya alami.,Positif,Positif,99.4,99.4,0.6,Sesuai
159,Alo subaris Subaris alo,5,2026-09-11,apk ini mudah membantu kami,Positif,Positif,99.6,99.6,0.4,Sesuai
160,Riki Yap,5,2026-09-11,aplikasi yang sangat membantu dalam pelayanan penggaduan,Positif,Positif,99.7,99.7,0.2,Sesuai
161,Jumhairi,5,2026-09-11,pln terdepan dengan aplikasi yg mapan,Positif,Positif,98.8,98.8,1.1,Sesuai
162,Dredolf Inspeksi Tempeh,5,2026-09-11,baik,Positif,Positif,99.7,99.7,0.3,Sesuai
163,Fauzi Fauzi,5,2026-09-11,PLN mobile aplikasi sangat bagus sangat bermanfaat dan banyak fitur fitur kenarik untuk pengisian token dan dapat di gunakan dengan sangat mudah untuk pelaporan gangguan dan lain lainnya. Terima kasih. PLN Mobile ok.,Positif,Positif,99.8,99.8,0.2,Sesuai
164,Yosef Willy,5,2026-09-11,👍,Positif,Positif,99.6,99.6,0.4,Sesuai
165,Kiki Bayhaki,5,2026-09-11,"pengguna merasa terbantu karena bisa membeli token,membayar tagihan listrik ,dan mengajukan tambah daya tanpa harus datang ke kantor PLN. PLN MOBILE TERBAIK",Positif,Positif,99.8,99.8,0.2,Sesuai
166,Satria ginting,5,2026-09-11,"PLN Luar Biasa Mantap dan terbaik💪💪💪💪🙏,aplikasi yg bagus dan mudah di pahami..",Positif,Positif,99,99,0.9,Sesuai
167,Vazlam Muha,5,2026-09-11,"Cepat, bagus",Positif,Positif,99.6,99.6,0.4,Sesuai
168,Sholehah Nisauljannah,5,2026-09-11,PLN TERBAIK,Positif,Positif,99.6,99.6,0.4,Sesuai
169,Supardi Pardi,5,2026-09-11,pln mobeli sanggat membantu saat mati lampu petugas cepat tanggap,Positif,Positif,98.6,98.6,1.3,Sesuai
170,di mas,5,2026-09-11,"aplikasi ini sangat baik dan mudah dipahami, memudahkan ketika ada gangguan tinggal pilih laporan pengaduan dan petugasnya gercep banget. dan dilengkapi fitur pasang baru maupun perubahan daya.",Positif,Positif,99.6,99.6,0.3,Sesuai
171,iko Darmawan,5,2026-09-11,keren sekali aplikasi PLN ini,Positif,Positif,99.7,99.7,0.3,Sesuai
172,Stival Leo,5,2026-09-11,mubail sanyat membantu menyelesaikan ganguan listrik,Positif,Positif,98.2,98.2,1.6,Sesuai
173,masdi ku,5,2026-09-11,PLN mobile semua makin mudah,Positif,Positif,99.9,99.9,0.1,Sesuai
174,Radha Reksiana,5,2026-09-11,aplikasi pln mobile mudah di gunakan untuk urusan kelistrikan.,Positif,Positif,99.9,99.9,0.1,Sesuai
