emoji,translation,sentiment,description
❓,bingung tidak jelas pertanyaan gagal,Negatif,Tanda tanya bingung masalah gagal
⁉️,marah bingung heran kesal kenapa,Negatif,Tanda tanya seru heran kesal marah
⁉,marah bingung heran kesal kenapa,Negatif,Tanda tanya seru heran kesal
:),senang ramah senyum bagus,Positif,Emotikon senyum ramah
:-),senang ramah senyum bagus,Positif,Emotikon senyum klasik
:D,sangat senang gembira tertawa puas,Positif,Emotikon tertawa gembira
:-D,sangat senang gembira tertawa puas,Positif,Emotikon tertawa gembira
xD,tertawa senang puas gembira,Positif,Emotikon tertawa puas
XD,tertawa senang puas gembira,Positif,Emotikon tertawa gembira
^^,senang bahagia senyum manis,Positif,Emotikon mata senyum bahagia
^_^,senang bahagia senyum manis,Positif,Emotikon wajah senyum manis
(y),sangat bagus jempol mantap oke,Positif,Emotikon jempol apresiasi
(Y),sangat bagus jempol mantap oke,Positif,Emotikon jempol apresiasi
<3,sangat suka cinta sayang puas,Positif,Emotikon bentuk hati cinta
:(,sedih kecewa buruk tidak suka,Negatif,Emotikon sedih kecewa
:-(,sedih kecewa buruk tidak suka,Negatif,Emotikon sedih murung
:'(,menangis sedih sangat kecewa air mata,Negatif,Emotikon menangis sedih
>:(,marah kesal emosi jengkel,Negatif,Emotikon wajah marah kesal
x(,kesal jengkel benci muak,Negatif,Emotikon mata silang kesal
X(,kesal jengkel benci muak,Negatif,Emotikon mata silang marah
-_-,datar malas kecewa bosan jengkel,Negatif,Emotikon wajah datar kesal
-__-,sangat malas kecewa jengkel bosan,Negatif,Emotikon mata datar jengkel
T_T,menangis sedih kecewa putus asa,Negatif,Emotikon menangis terisak
TT_TT,menangis deras sangat kecewa sedih,Negatif,Emotikon menangis tersedu-sedu
(n),buruk jelek tidak suka kecewa,Negatif,Emotikon jempol ke bawah
(N),buruk jelek tidak suka kecewa,Negatif,Emotikon jempol ke bawah
💰,banyak uang saldo rezeki,Positif,Kantong uang koin saldo
🏧,mesin atm setor tarik tunai,Positif,Mesin ATM bank
📱,aplikasi handphone mobile,Positif,Smartphone m-banking
🔓,terbuka akses tidak aman,Negatif,Gembok terbuka
📈,kinerja naik membaik bagus,Positif,Grafik tren meningkat
🚀,sangat cepat melesat hebat,Positif,Roket cepat maju
