No,User Name,Rating Bintang,Tanggal,Ulasan Asli,Ulasan Preprocessing,Skor Sentimen,Sentimen Teks,Status Kesesuaian,Keterangan Anomali
126,Bambang Wijonarko,1,2026-09-10,Perbaiki dan upgarde ai face recognition-nya,perbaiki dan upgarde ai face recognition-nya,0,Netral,MATCH,
127,Penyejuk Hati ChanneL,5,2026-09-10,That Simple,that simple,0,Netral,MATCH,
128,Rahmat Fauzi,5,2026-09-10,aplikasi yg bagus dan sangat membantu sekali,aplikasi yang bagus dan sangat membantu sekali,5,Positif,MATCH,
129,Agung Hendra,5,2026-09-10,good,good,2,Positif,MATCH,
130,Ghita,5,2026-09-10,kerja bagus,kerja bagus,2,Positif,MATCH,
131,Mohammad Wakid Arvian,5,2026-09-10,Sangat membantu,sangat membantu,3,Positif,MATCH,
132,areska fatrisa,1,2026-09-10,mau buka aplikasi lama dan lemot membuat susah orang berobat yg lagi sakit aplikasi ga guna,mau buka aplikasi lama dan lambat membuat sulit orang berobat yang lagi sakit aplikasi tidak guna,-7,Negatif,MATCH,
133,Purnoto,5,2026-09-10,ini gimana ya? ketimbang mau log in aja susah banget,ini gimana ya ketimbang mau login in aja sulit banget,-2.5,Negatif,MISMATCH_HIGH_RATING,"Rating bintang tinggi (4-5), namun isi ulasan memuat kritik/keluhan tajam"
134,Asril Sitompul,5,2026-09-10,sangat baik,sangat baik,2,Positif,MATCH,
135,sri sulasmi,5,2026-09-10,baik,baik,2,Positif,MATCH,
136,Toy Mahendra25,5,2026-09-10,sangat puas,sangat puas,3,Positif,MATCH,
137,rani aja,5,2026-09-10,melakukan perubahan data prosesnya hanya hitungan menit. terimakasih mobile jkn,melakukan perubahan data prosesnya hanya hitungan menit terimakasih mobile jkn,0,Netral,MATCH,
138,Seni Trimuliani,3,2026-09-10,udah bagus sih cuma ini kenapa ya suka gagal terhubung ke server rs gitu buat rujukan,udah bagus sih cuma ini kenapa ya suka gagal terhubung ke server rs gitu buat rujukan,1.5,Positif,MATCH,
139,vellaa vellaa99,1,2026-09-10,gajelas,gajelas,0,Netral,MATCH,
140,Herry GrdTM77,1,2026-09-10,apk lawak bug truss,aplikasi lawak bug truss,-2,Negatif,MATCH,
141,Fajar 22,5,2026-09-10,Sangat Mudah Jika Ingin Ganti Faskes,sangat mudah jika ingin ganti faskes,2.5,Positif,MATCH,
142,Rizal Fikriyan,1,2026-09-10,verifikasi wajahnya susah banget udh gitu kameranya aneh,verifikasi wajahnya sulit banget sudah gitu kameranya aneh,-2.5,Negatif,MATCH,
143,RIAN PRANATA,1,2026-09-10,"tau"" logout sendiri, ga bisa login, katanya ada gangguan apa gitu di suruh nunggu beberapa saat, tapi sampek berhari"" sama aja",tau logout sendiri tidak bisa login katanya ada gangguan apa gitu di suruh nunggu beberapa saat tapi sampek berhari sama aja,0,Netral,MATCH,
