No,User Name,Rating Bintang,Tanggal,Isi Ulasan Asli,Master Ground Truth,Prediksi ML (Naive Bayes),Confidence Score (%),Prob Positif (%),Prob Negatif (%),Status Anomali
51,Pujianto Agustus,5,2026-09-10,ok bangat yang penting okey mantrap,Positif,Positif,73.7,73.7,24.4,Sesuai
52,Melani Futria,3,2026-09-10,"dulu mah gampang mau masuk tinggal klik sandi ,skrg agak ribet deh berkali2 jaringan eror gabisa masuk aplikasi mencoba uninstal trs didownload ulang malahan gbs jg",Negatif,Negatif,94.2,5.3,94.2,Sesuai
53,Malang Bagus,1,2026-09-10,"sekarang malah susah mau ambil no antrean biasa nya tinggal pilih peserta, apa harus bikin akun lagi untuk nik anak biar bisa ambil nomor antrean",Negatif,Negatif,92.7,7,92.7,Sesuai
54,Muslikhin ali khusni,1,2026-09-10,aplikasi bodoh. tiap bulan mesti login.itu bodoh fb aja ga tiap bulan login.perpinter lagi,Negatif,Negatif,90,8.8,90,Sesuai
55,Nadine Nazyre,4,2026-09-10,"Setelah di update APK kenapa malah logout sendiri dan tidak bisa login lagi?,.. Padahal sinyal kuat dan semua data yang di masukkan sudah betul,.. Ini gimana ya? Apakah APKnya sudah tidak bisa di gunakan?",Negatif,Negatif,94.9,4.6,94.9,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
56,Rachmat Sudrajat,1,2026-09-10,"Gmn mau buka,kudu update wae.Klo Hp bagus dan memory cukup gak masalah,lah ini hp jadul memory kecil .... Malah jd masalah baru lg ini,gmn sy mau berobat",Positif,Positif,52.8,52.8,46.3,💡 Bintang 1-2 tapi Prediksi ML Positif (Pujian / Salah Klik)
57,Budi Prayitno,1,2026-09-10,Mengapa tidak ada dukungan mobile jkn ini untuk android 8/9? apa memang pengguna jkn hanya utntuk orang mampu? rakyat kecil tidak boleh menggunakan fasilitas jkn?,Negatif,Negatif,80.2,19,80.2,Sesuai
58,Oki Abdul karom,5,2026-09-10,aplikasi bermanfaat sangat membantu dan mempermudah masyarakat. petugas nya pun ramah tamah dan sangat membantu. terimakasih,Positif,Positif,99.9,99.9,0.1,Sesuai
59,Dennise Saputra,1,2026-09-10,saya daftar JKN mobile dari pagi sampe malem otp sms ga pernah masuk cuman otp Gmail aja yang masuk,Negatif,Negatif,96.5,3.1,96.5,Sesuai
60,Edo Pandeirot,5,2026-09-10,sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
61,Helni Depag,5,2026-09-10,sangat membantu dalam pengecekan kesehatan,Positif,Positif,98.3,98.3,1.5,Sesuai
62,muklas khan,1,2026-09-10,aplikasi tidak bisa di buka,Negatif,Negatif,94.8,5.1,94.8,Sesuai
63,Insan Kamil Budiman,1,2026-09-10,"kurang berguna, apk jebakan",Negatif,Negatif,52.1,46.4,52.1,Sesuai
64,Rukwati Yahya,1,2026-09-10,sms verifikasi tidak kunjung masuk,Negatif,Negatif,90.3,9.1,90.3,Sesuai
65,Hadi Sancoko,5,2026-09-10,ok,Positif,Positif,51.5,51.5,45.6,Sesuai
66,Dzaki Airil,5,2026-09-10,sangat membantu kami,Positif,Positif,97.9,97.9,1.9,Sesuai
67,Zikri Maulvi,5,2026-09-10,the best,Positif,Positif,97.2,97.2,2.3,Sesuai
68,legal,1,2026-09-10,"Apasih bolak balik harus login, rempong bgt",Negatif,Negatif,88.1,10.2,88.1,Sesuai
69,Wiwit Amelia,5,2026-09-10,mudah dan gampang g pake ribet,Negatif,Positif,66.5,66.5,33.1,Sesuai
70,Purwati Wati,4,2026-09-10,lumayan akurat. hanya kadang rumit bolak-balik verifikasi akun. password PIN. jatuhnya kepada org tua yg mulai renta mata krg awas. ingatan mulai lemah. jdi lupa lupa terus PIN atau password. jadi lama prosesnya utk berobat,Negatif,Negatif,77.8,20.8,77.8,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
71,Sondang Mayda,3,2026-09-10,srg kali mnt login & logout sesuka nya. muak awak.,Netral,Negatif,70.8,25.5,70.8,Sesuai
72,Wahyu Wulan,1,2026-09-10,pas masukin nomer nggak bisa terus udah 1 bulan di coba lagi masih nggak bisa padahal nomer masih aktif ada pulsanya juga,Negatif,Negatif,95.2,4.4,95.2,Sesuai
73,Farhanghani,1,2026-09-10,aplikasi BUSUKKKK,Negatif,Negatif,92.9,6.4,92.9,Sesuai
74,Imam bae,1,2026-09-10,apk sampah tiba² keluar sendri IT nya ga besus kerjanya,Negatif,Negatif,94.4,5.2,94.4,Sesuai
75,Ashfi Amarilis Wafda,5,2026-09-10,sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
76,Zein Arief,1,2026-09-10,apk gk bisa buat reset password kayak nya apk ini hny pajangan,Negatif,Negatif,92.2,7.2,92.2,Sesuai
77,Darto Gum,5,2026-09-10,good,Positif,Positif,98.5,98.5,1.3,Sesuai
78,Ogi Suhendar,4,2026-09-10,kenapa hp saya tidak dapat meng update jkn dan tidak bisa di buka,Positif,Negatif,78.9,20.6,78.9,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
79,Dede Sopandi,5,2026-09-10,good sangat membantu,Positif,Positif,99.9,99.9,0.1,Sesuai
80,Nurul Anwar,5,2026-09-10,"sangatttt membantu, terimakasih mobile JKN",Positif,Positif,99.1,99.1,0.8,Sesuai
81,saukat ali,5,2026-09-10,excellent,Positif,Positif,84,84,14.1,Sesuai
82,Fitri YD,5,2026-09-10,pelayanan ini sangat membantu kami warga indonesia,Positif,Positif,98.1,98.1,1.7,Sesuai
83,Arie Ramadanie,1,2026-09-10,aplikasi sampah buatnya mahal tapi slalu macet dari otp hingga registrasi tidak bisa diaktifkan,Negatif,Negatif,90.1,9,90.1,Sesuai
84,kriswan setiadi,3,2026-09-10,aplikasi bagus setiap mau di pakai harus verifikasi padahal sudah di catat bagus bagus pasword tapi selalu salah beneran bikin capek,Positif,Positif,54.8,54.8,44.8,Sesuai
85,Nopa Tejo mukti,5,2026-09-10,bagus,Positif,Positif,98.2,98.2,1.7,Sesuai
86,Rahmat hidayat,5,2026-09-10,membantu untuk pemeriksaan kesehatan,Positif,Positif,96.7,96.7,3,Sesuai
87,Muhammad Fatir,5,2026-09-10,membantu....masarajat....,Positif,Positif,97.6,97.6,2.3,Sesuai
88,Amelia Ananda,4,2026-09-10,Lola aplikasinya,Positif,Positif,65.2,65.2,32.8,Sesuai
89,Roni Bekasi,5,2026-09-10,sangat bermanfaat dan membantu mempermudah dalam percobaan,Positif,Positif,99.6,99.6,0.4,Sesuai
90,Masyadi Aldo,5,2026-09-10,mantap jiwa,Positif,Positif,96.9,96.9,2.6,Sesuai
91,Mochamad Ryan Muzaki,1,2026-09-10,FC trus,Negatif,Positif,51.5,51.5,45.6,💡 Bintang 1-2 tapi Prediksi ML Positif (Pujian / Salah Klik)
92,Muhamad Rafi Arifin,1,2026-09-10,sediakan fitur download pdf untuk surat rujukan baru saya kasih bintang 5,Negatif,Negatif,62.8,34.9,62.8,Sesuai
93,H yx,1,2026-09-10,apasih tiba² buat daftar online nya hilang aneh banget,Negatif,Negatif,89.8,9.5,89.8,Sesuai
94,Agus Nur alamsyah,5,2026-09-10,mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
95,Zulfandia,5,2026-09-10,sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
96,Antonius Adi,4,2026-09-10,"bagus dan sangat membantu,tidak perlu harus ke kantor pusat untuk mengubah data.tetap semangat.",Positif,Positif,98.1,98.1,1.7,Sesuai
97,Mach Haris,5,2026-09-10,keren perubahan datanya cepat,Positif,Positif,97.1,97.1,2.8,Sesuai
98,Wahyudi Wahyudi,5,2026-09-10,mudah di akses,Positif,Positif,85.7,85.7,14.1,Sesuai
99,candy,3,2026-09-10,"mau verifikasi wajah gagal terus, padahal udah ikutin instruksi. tempat juga udah terang. siapa si ini tim IT nya. tolong SEGERA diperbaiki. mau kontrol aja dipersulit.",Negatif,Negatif,96.6,3,96.6,Sesuai
100,Gace Imut,1,2026-09-10,Apaan ini tau tau logout... sendiri.. Percuma jg pake aplikasi bgini ga bykk pengaruh jg.. Malah Ribet. logout sendiri.,Negatif,Negatif,96.6,3,96.6,Sesuai
101,Dewi,5,2026-09-10,sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
102,Achmad pupun istiawan,1,2026-09-10,rekam wajah terlalu lama,Negatif,Negatif,77,21.3,77,Sesuai
103,Hamba' Allah,1,2026-09-10,"No nik sdh sesuai ktp di blng slh, apk sampah",Negatif,Negatif,87.9,11.4,87.9,Sesuai
104,Beni Saputra,5,2026-09-10,jos,Positif,Positif,93.8,93.8,5.8,Sesuai
105,Sis Wanto,4,2026-09-10,knp aplikasi JKN tidak bisa di download ulang setelah di paus dan hilang dr aplikasi play store,Positif,Negatif,50.3,48.4,50.3,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
106,Risky Aditiya,1,2026-09-10,lama bet verifikasi sms nya cok 300 detik,Negatif,Negatif,84.8,13.3,84.8,Sesuai
107,Muhammad Fauzan,1,2026-09-10,"kak mau nanya kan saya ingin membayar tunggakan kis/BPJS ,saya ingin bayar dengan membayar pake BCA tapi kenapa gak ada kak tolong jawab kak🙏",Negatif,Negatif,71.7,25.3,71.7,Sesuai
108,Aw we,5,2026-09-10,sangat baik,Positif,Positif,96.4,96.4,3.4,Sesuai
109,Santi Shyantie,5,2026-09-10,mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
110,Mayana veronika Sembiring,5,2026-09-10,sangat membantu tanpa harus ke kantor nya 🥰,Positif,Positif,95.3,95.3,4.4,Sesuai
111,AbANg TamFan,1,2026-09-10,"Rata² apl buatan pemerintah terkesan asal asalan,. padahal dana pembuatannya sangat besar. sering error, logout sendiri.",Negatif,Negatif,91.1,7.8,91.1,Sesuai
112,fahmy saleh,5,2026-09-10,mantab deh,Positif,Positif,99.2,99.2,0.7,Sesuai
113,Hendra Rock,1,2026-09-10,"aplikasi aneh dua Minggu daftar tinggal dipermudah kirim sms aja ko repot gagal terus,. kalo. gak niat buat aplikasi mnding offline aja lah",Negatif,Negatif,95.6,3.8,95.6,Sesuai
114,Samsu Syam,2,2026-09-10,"aplikasi ribet ,minta terus login,kadang keluar sendiri",Negatif,Negatif,97.3,2.4,97.3,Sesuai
115,Dedy Irawan,5,2026-09-10,sangat membatu,Positif,Positif,99.7,99.7,0.3,Sesuai
116,makunimau family,5,2026-09-10,sangat membantu untuk meningkatkan pelayanan BPJS,Positif,Positif,98.7,98.7,1.1,Sesuai
117,Aris Vauzi,5,2026-09-10,excellent,Positif,Positif,84,84,14.1,Sesuai
118,Lestari Asha,5,2026-09-10,Alhamdulillah app JKN Mobile skrg sdh semakin bagus. Membantu banget kalau mau periksa ke faskes/RS. Semoga ke depan makin bagus lagi,Positif,Positif,98.9,98.9,1,Sesuai
119,Lukman Hakim,5,2026-09-10,mantap,Positif,Positif,99.2,99.2,0.7,Sesuai
120,WITTIN INDRASARI,1,2026-09-10,aplikasi nya sering lemot dan keluar sendiri,Negatif,Negatif,93.6,5.9,93.6,Sesuai
121,rani febritriani,1,2026-09-10,"bojs bobrok. udh didaftarin tindakan tgl 10 sep, de sebelum puasa krn doketer mau hj, malah eror, mundur jd tgl 15. dikira g punya kerjaan leha leha doang.",Positif,Negatif,79.4,19.6,79.4,Sesuai
122,Blackdoff69 doff69,1,2026-09-10,sering error,Negatif,Negatif,96.9,2.9,96.9,Sesuai
123,Arie Muhlapin,5,2026-09-10,Memudahkan pelayanan masyarakat,Positif,Positif,92.9,92.9,6.6,Sesuai
124,Sri Muliati,5,2026-09-10,Sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
125,Widya Safitri Zebua,1,2026-09-10,TOLONG YA DI PERBAIKI INI APLIKASI. BUKANNYA MEMUDAHKAN MALAH NYUSAHIN! BANYAK BUG! NGELAG PARAH! SERING TIBA-TIBA LOGOUT SENDIRI!,Negatif,Negatif,97.6,2.2,97.6,Sesuai
126,Bambang Wijonarko,1,2026-09-10,Perbaiki dan upgarde ai face recognition-nya,Negatif,Positif,73.5,73.5,25,💡 Bintang 1-2 tapi Prediksi ML Positif (Pujian / Salah Klik)
127,Penyejuk Hati ChanneL,5,2026-09-10,That Simple,Positif,Positif,83.3,83.3,15.7,Sesuai
128,Rahmat Fauzi,5,2026-09-10,aplikasi yg bagus dan sangat membantu sekali,Positif,Positif,99.9,99.9,0.1,Sesuai
129,Agung Hendra,5,2026-09-10,good,Positif,Positif,98.5,98.5,1.3,Sesuai
130,Ghita,5,2026-09-10,kerja bagus,Positif,Positif,84.7,84.7,15,Sesuai
131,Mohammad Wakid Arvian,5,2026-09-10,Sangat membantu,Positif,Positif,99.7,99.7,0.3,Sesuai
132,areska fatrisa,1,2026-09-10,mau buka aplikasi lama dan lemot membuat susah orang berobat yg lagi sakit aplikasi ga guna,Negatif,Negatif,92.9,6.9,92.9,Sesuai
133,Purnoto,5,2026-09-10,ini gimana ya? ketimbang mau log in aja susah banget,Positif,Negatif,92.6,6.7,92.6,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
134,Asril Sitompul,5,2026-09-10,sangat baik,Positif,Positif,96.4,96.4,3.4,Sesuai
135,sri sulasmi,5,2026-09-10,baik,Positif,Positif,81,81,18.5,Sesuai
136,Toy Mahendra25,5,2026-09-10,sangat puas,Positif,Positif,97.6,97.6,2.1,Sesuai
137,rani aja,5,2026-09-10,melakukan perubahan data prosesnya hanya hitungan menit. terimakasih mobile jkn,Positif,Positif,92.5,92.5,7.2,Sesuai
138,Seni Trimuliani,3,2026-09-10,udah bagus sih cuma ini kenapa ya suka gagal terhubung ke server rs gitu buat rujukan,Positif,Positif,57.9,57.9,40.8,Sesuai
139,vellaa vellaa99,1,2026-09-10,gajelas,Negatif,Negatif,84.8,13.8,84.8,Sesuai
140,Herry GrdTM77,1,2026-09-10,apk lawak bug truss,Negatif,Negatif,75,21.4,75,Sesuai
141,Fajar 22,5,2026-09-10,Sangat Mudah Jika Ingin Ganti Faskes,Positif,Positif,92.4,92.4,7.2,Sesuai
142,Rizal Fikriyan,1,2026-09-10,verifikasi wajahnya susah banget udh gitu kameranya aneh,Negatif,Negatif,96.1,3.2,96.1,Sesuai
143,RIAN PRANATA,1,2026-09-10,"tau"" logout sendiri, ga bisa login, katanya ada gangguan apa gitu di suruh nunggu beberapa saat, tapi sampek berhari"" sama aja",Negatif,Negatif,96.5,3,96.5,Sesuai
144,aditpriabaik,5,2026-09-10,"aplikasi kagak jelas monyet, kode Verifikasi aja lamanya kagak ngotak. pada niat bikin aplikasi gasi",Positif,Negatif,87.9,11.4,87.9,🚨 Bintang 4-5 tapi Prediksi ML Negatif (Taktik Komplain)
145,Dedi Yusuf,5,2026-09-10,sangat berguna,Positif,Positif,92.9,92.9,6.7,Sesuai
146,salh jvhjk,1,2026-09-10,TOLOL MENYUSAHKAN ORANG AJA DISISI PENDAFTARAN,Negatif,Negatif,86.7,12.3,86.7,Sesuai
147,Jhon Smith,1,2026-09-10,"apk paling tholol yg pernah saya install, mending lu pada ga ush sama sakali install apk ini, apk haram",Negatif,Negatif,91.9,7,91.9,Sesuai
148,Shine Daniel,1,2026-09-10,"Masa sudah sampai seminggu tidak bisa login. Keterangan pemintaan belum dapat diproses. Sudah clear cache, cek update aplikasi, password benar.",Negatif,Negatif,95,4.6,95,Sesuai
149,orang awam,1,2026-09-10,aplikasi pemerintah wuelek Kabeh piye Iki rek dana aplikasi y seh di korupsi masak nik bener loging tidak bisa apa lah pemerintah,Negatif,Negatif,95.6,3.9,95.6,Sesuai
150,JEPE,1,2026-09-10,"wah sering erornya, tolong perbaiki systemnya dong, kasian yang poli pakai aplikasi, kadang tidak bisa login, kadang susah cek in, kadang mental, jadi kalau berangkat awal tetep harus antri umum. hmmm",Negatif,Negatif,87.3,12,87.3,Sesuai
151,Fuddin Zuhri,5,2026-09-10,oke,Positif,Positif,97.4,97.4,2.4,Sesuai
152,Beras Habis,1,2026-09-10,"tolong dong masa dikit"" logout .. mulai ulang masukin no ktp dll .RIBEEETT... apalagi buat emak emak .. apalagi klo lagi urgent buru buruu . setiap mau pakee masa harus login muluu ... udah bertahun tahun masih kaya gini . jngn bkin orng ribeeett dong !!!!",Negatif,Negatif,96.3,3.2,96.3,Sesuai
153,Supri Adi,5,2026-09-10,sangat membantu sekali,Positif,Positif,99.8,99.8,0.2,Sesuai
154,Suci Iprs,1,2026-09-10,"entah yang jelek apk nya atau faskes yang di tuju. Kenapa dokter yang aku tuju selalu full padahal aku wes yang war antrian di jam buka dan mendaftar untuk besok tapi tau - tau sudah full, kayak menit 01 lohh tapi 10 antrian sudah full tapi beberapa menit kemudian eh sudah antrian 21 dan full dan aku ga dpt. ini maksudnya apa yaa? apa bisa pakai ordal? ini kenapa update nya gak updatee sih?. mana pas ada kesempatan ambil antrian ada aja pemberitahuan yang ga penting jadinya antrianku ke salip.",Negatif,Negatif,91.1,8.1,91.1,Sesuai
155,Yuli Yulianty,1,2026-09-09,"tidak bisa masukan no hp , gagal terus",Negatif,Negatif,96.8,3.1,96.8,Sesuai
156,Yuu okazaki,2,2026-09-09,"kenapa tidak bisa di instal di hp saya, aplikasi bertuliskan (perankat ini tidak bisa u tuk hp anda)kenapa begitu? mohon di jawab cepat",Negatif,Negatif,82.8,16.7,82.8,Sesuai
157,Ardi Maulidin,1,2026-09-09,"apk pemerintah pasti tolol ga guna jelek bngt anj apk nya, vermuk msh jlk otp make pulsaa ga jls anj orang buru² brobat mati dluan d jalan ngurus gnian",Negatif,Negatif,93,6.4,93,Sesuai
158,Abah Tea,4,2026-09-09,awalnya susah sekali diakses..mudah2an dikemudian hari lebih mudah supaya lebih cepat proses layanannya,Positif,Positif,96,96,3.8,Sesuai
159,Crayon Shinchan,1,2026-09-09,pas daftar dipersulit mulu,Negatif,Negatif,83.8,14.8,83.8,Sesuai
160,Syahrul Palah,5,2026-09-09,baguss untuk fasilitas aplikasinya,Positif,Positif,90,90,9,Sesuai
161,Hendri irdneH,1,2026-09-09,Hp versi Android lama jadi gak kompatibel. Mohon agar dapat d gunakan pada versi Android yg lebih rendah,Negatif,Negatif,85.5,12.5,85.5,Sesuai
162,Kayla Azahra,1,2026-09-09,"sakitnya sekarang suruh berobatnya besok,,daftar antrian sekarang buat berobat besok..",Negatif,Negatif,77.9,21.5,77.9,Sesuai
163,Slamet Susanto,1,2026-09-09,"aplikasi nya susah bgt untuk di instal, pdhl penyimpanan tlpn cukup.",Negatif,Negatif,74.2,24.6,74.2,Sesuai
164,Nasi Uduk,1,2026-09-09,"tiba"" logout, baru buka close sendiri, nggak bisa pakai wifi maunya data padahal lancar jaya, pokoknya banyak kendalanya lah pokoknya",Positif,Positif,51.3,51.3,48,💡 Bintang 1-2 tapi Prediksi ML Positif (Pujian / Salah Klik)
