No,User Name,Rating / Bintang,Tanggal Review,Isi Ulasan,Jumlah Like,Tanggal Balasan,Balasan Developer,Versi Aplikasi
15,Delvin Aldzikry,1,2026-09-11,bt apa daftar online terus dikasih no antri klo ujung ujung ttp aja siapa yg datang duluan no antrian no 1,0,,,4.18.0
16,arla putra,5,2026-09-11,bagus ini,0,,,4.18.0
17,Produksi Masal,5,2026-09-11,aplikasi nya sangat bagus,0,,,4.18.0
18,Kyb Kyb,5,2026-09-11,"lebih praktis, dan sangat membatu.",0,,,4.18.0
19,IraAyu 7002,1,2026-09-11,kenapa harus pake ini kalo app nya eror!!!??? udah verifikasi wajah susah mirornya aneh. Setelah bisa malah disuruh coba lagi karna sistem tidak bisa diproses!!! tolong.,0,,,4.18.0
20,Aan Anwar,5,2026-09-11,oke,0,,,
21,Rizky M.Syahrul,1,2026-09-11,"APK SAMPAHHHHHHHHHHH, KODE OTP NYA LAMA SEKALI DI KIRIM UDAH HAMPIR 2 HARI NUNGGU GAK ADA DI KIRIM",0,,,
22,Rvnzaa Putra,1,2026-09-11,bodoh,0,,,4.18.0
23,Noldy Kapia18,1,2026-09-11,🔪,0,,,4.16.0
24,sarmi sarmi,4,2026-09-11,"aplikasi tdk bisa digunakan untuk ambil antrian,, sering log out",0,,,4.18.0
25,Ricky Azwhan,1,2026-09-10,"aku pribadi lebih suka mekanis yang dulu sederhana dan terstruktur ketimbang sekarang banyak fitur iya tapi hal yang paling mendasar seperti Memperivikasi nomer telepon terutama saat mengirim kode dengan nomer itu lana sekali, tidak responsif juga untuk login memang ada password, tapi sekali lupa dan salah itu mau atur ulang sandi nya susah sekali kaya mau apa aja, dilihat dari pembaruan nya itu udah ada Ai yang melihat gejala, tapi tidak buat keamanannya di perbaiki, karena itu menjadi dasarnya",0,,,
26,Doea Pilar Oetama,5,2026-09-10,mudah dan interaktif mantab,0,,,4.18.0
27,STUT COMMUNITY,5,2026-09-10,sangat membantu👍,0,,,4.18.0
28,Zhen Ibra,5,2026-09-10,"kenapa mobile jkn mau login nik ktp lain gak bisa lagi,aplikasi ini makin susah aja login",0,,,4.18.0
29,muhammad bahiij,1,2026-09-10,"kebanyakan update,fitur utama malah eror,buat daftar antrean online aja kode f1 terus,aplikasi GG",0,,,4.18.0
30,Suyanto Diningrat,1,2026-09-10,"susah buat verifikasi wajah, kode OTP ga pernah muncul pdhl nomer HP aktif trs, aplikasi ga berguna",0,,,4.18.0
31,Adji Saroso,5,2026-09-10,ok banget,0,2023-08-14,"Hi... Terima kasih atas review dan rating yang diberikan. Kami akan terus melakukan perbaikan dan penyempurnaan aplikasi Mobile JKN untuk memberikan kemudahan bagi peserta dan calon peserta JKN. Jika ada kendala, Anda dapat menghubungi Care Center BPJS Kesehatan melalui nomor 165 (24 jam). Semoga Sehat Selalu. Terima kasih.",4.18.0
32,Ahmad Failani,1,2026-09-10,keburu sekarat,0,,,4.18.0
33,wedusss212 weduss,1,2026-09-10,"aplikasi malah tambah nyusahin mau berobat jadi susah , log in sulit minta otp selalu g bisa,....",0,,,
34,dion alief,5,2026-09-10,"sekarang mau ngapa""in jadi ribet",0,,,4.8.1
35,cristina a,3,2026-09-10,"sering error, tolong di upgrade dong",0,,,4.18.0
36,Indra Bmth,3,2026-09-10,mau ngambil antrian online gagal Mulu udah dicoba segala ha gabisal mohon di perbaiki lagi,0,,,4.18.0
37,Sakti Octova,1,2026-09-10,optimalkan lagi dong aplikasinya masa untuk hp ram 6 gb force close terus,0,,,
38,M Riki Saputra,1,2026-09-10,"kadang memudahkan kadang menyusahkan karna gamau login dan terlog out sendiri, Optimali lagi ni aplikasi",0,,,4.18.0
39,Muhammad Qosim,1,2026-09-10,kurang baik,0,,,
40,Malik Fajar,1,2026-09-10,verifikasi otp lewat sms ga muncul2 alasan jaringan padahal jaringan bagus karena menggunakan wifi,0,,,4.18.0
41,Sihabuddin Addimiyyati,1,2026-09-10,jelek bet susah daftar,0,,,4.18.0
42,FI KAR,1,2026-09-10,"kode otp nya ga ada, apk apaan ini",0,,,4.18.0
43,Heri Mulyana,1,2026-09-10,knpa aplikasi ini susah sekali .. kompatibel terus apa masalah ny..dulu lancar2 aja,0,,,
44,Abdi Nawawi,5,2026-09-10,aplikasi Bagus,0,,,4.18.0
45,Himalaya Sadewa,5,2026-09-10,mantap pelayanan,0,,,4.18.0
46,Paijo87 Jhony87,5,2026-09-10,mudah cara pegunaan ya,0,,,
47,Pincok 26,1,2026-09-10,saya berharap petugas BPJS kalo input data tu mata melek jangan merem satu angka/huruf salah anda mepotkan kami!!!,0,,,4.18.0
48,Saepul Islam,1,2026-09-10,SUMPAH INI APLIKASI JELEK BANGET. SERING KELUAR SENDIRI PADAHAL PASWORD SUDAH BENAR SAMPE GAGAL 3 KALI MASUK. PADAHAL URGENT MAU DIPAKE KECEWA,0,,,
49,Anto Boyz,5,2026-09-10,sangat luar biasa,0,,,
50,Zainal Abidin,5,2026-09-10,mantaap,0,,,
51,Pujianto Agustus,5,2026-09-10,ok bangat yang penting okey mantrap,0,,,4.18.0
52,Melani Futria,3,2026-09-10,"dulu mah gampang mau masuk tinggal klik sandi ,skrg agak ribet deh berkali2 jaringan eror gabisa masuk aplikasi mencoba uninstal trs didownload ulang malahan gbs jg",0,,,4.18.0
53,Malang Bagus,1,2026-09-10,"sekarang malah susah mau ambil no antrean biasa nya tinggal pilih peserta, apa harus bikin akun lagi untuk nik anak biar bisa ambil nomor antrean",0,,,
54,Muslikhin ali khusni,1,2026-09-10,aplikasi bodoh. tiap bulan mesti login.itu bodoh fb aja ga tiap bulan login.perpinter lagi,0,,,4.18.0
55,Nadine Nazyre,4,2026-09-10,"Setelah di update APK kenapa malah logout sendiri dan tidak bisa login lagi?,.. Padahal sinyal kuat dan semua data yang di masukkan sudah betul,.. Ini gimana ya? Apakah APKnya sudah tidak bisa di gunakan?",0,2022-01-10,"""Hai..Mohon maaf atas ketidaknyamanannya Pastikan anda telah melakukan update Aplikasi Mobile JKN pada handphone anda. Untuk kendala yang anda alami saat ini telah dilakukan perbaikan, silahkan coba kembali. Terima kasih,""",4.18.0
56,Rachmat Sudrajat,1,2026-09-10,"Gmn mau buka,kudu update wae.Klo Hp bagus dan memory cukup gak masalah,lah ini hp jadul memory kecil .... Malah jd masalah baru lg ini,gmn sy mau berobat",0,,,4.18.0
57,Budi Prayitno,1,2026-09-10,Mengapa tidak ada dukungan mobile jkn ini untuk android 8/9? apa memang pengguna jkn hanya utntuk orang mampu? rakyat kecil tidak boleh menggunakan fasilitas jkn?,0,,,
58,Oki Abdul karom,5,2026-09-10,aplikasi bermanfaat sangat membantu dan mempermudah masyarakat. petugas nya pun ramah tamah dan sangat membantu. terimakasih,0,,,4.18.0
59,Dennise Saputra,1,2026-09-10,saya daftar JKN mobile dari pagi sampe malem otp sms ga pernah masuk cuman otp Gmail aja yang masuk,0,,,
60,Edo Pandeirot,5,2026-09-10,sangat membantu,0,,,4.18.0
61,Helni Depag,5,2026-09-10,sangat membantu dalam pengecekan kesehatan,0,,,
62,muklas khan,1,2026-09-10,aplikasi tidak bisa di buka,0,,,
63,Insan Kamil Budiman,1,2026-09-10,"kurang berguna, apk jebakan",0,,,4.18.0
64,Rukwati Yahya,1,2026-09-10,sms verifikasi tidak kunjung masuk,0,,,4.18.0
65,Hadi Sancoko,5,2026-09-10,ok,0,,,4.18.0
66,Dzaki Airil,5,2026-09-10,sangat membantu kami,0,,,
67,Zikri Maulvi,5,2026-09-10,the best,0,,,4.18.0
68,legal,1,2026-09-10,"Apasih bolak balik harus login, rempong bgt",0,,,
69,Wiwit Amelia,5,2026-09-10,mudah dan gampang g pake ribet,0,,,4.18.0
70,Purwati Wati,4,2026-09-10,lumayan akurat. hanya kadang rumit bolak-balik verifikasi akun. password PIN. jatuhnya kepada org tua yg mulai renta mata krg awas. ingatan mulai lemah. jdi lupa lupa terus PIN atau password. jadi lama prosesnya utk berobat,0,,,4.18.0
71,Sondang Mayda,3,2026-09-10,srg kali mnt login & logout sesuka nya. muak awak.,0,,,4.18.0
72,Wahyu Wulan,1,2026-09-10,pas masukin nomer nggak bisa terus udah 1 bulan di coba lagi masih nggak bisa padahal nomer masih aktif ada pulsanya juga,0,,,4.18.0
73,Farhanghani,1,2026-09-10,aplikasi BUSUKKKK,0,,,
74,Imam bae,1,2026-09-10,apk sampah tiba² keluar sendri IT nya ga besus kerjanya,0,,,4.18.0
75,Ashfi Amarilis Wafda,5,2026-09-10,sangat membantu,0,,,4.18.0
76,Zein Arief,1,2026-09-10,apk gk bisa buat reset password kayak nya apk ini hny pajangan,0,,,4.18.0
77,Darto Gum,5,2026-09-10,good,0,,,4.18.0
78,Ogi Suhendar,4,2026-09-10,kenapa hp saya tidak dapat meng update jkn dan tidak bisa di buka,0,,,4.18.0
79,Dede Sopandi,5,2026-09-10,good sangat membantu,0,,,4.18.0
80,Nurul Anwar,5,2026-09-10,"sangatttt membantu, terimakasih mobile JKN",0,,,4.18.0
81,saukat ali,5,2026-09-10,excellent,0,,,4.18.0
82,Fitri YD,5,2026-09-10,pelayanan ini sangat membantu kami warga indonesia,0,,,4.12.0
83,Arie Ramadanie,1,2026-09-10,aplikasi sampah buatnya mahal tapi slalu macet dari otp hingga registrasi tidak bisa diaktifkan,0,,,4.18.0
84,kriswan setiadi,3,2026-09-10,aplikasi bagus setiap mau di pakai harus verifikasi padahal sudah di catat bagus bagus pasword tapi selalu salah beneran bikin capek,0,,,4.18.0
85,Nopa Tejo mukti,5,2026-09-10,bagus,0,,,
86,Rahmat hidayat,5,2026-09-10,membantu untuk pemeriksaan kesehatan,0,,,4.18.0
87,Muhammad Fatir,5,2026-09-10,membantu....masarajat....,0,,,4.18.0
88,Amelia Ananda,4,2026-09-10,Lola aplikasinya,0,,,
89,Roni Bekasi,5,2026-09-10,sangat bermanfaat dan membantu mempermudah dalam percobaan,0,,,4.18.0
90,Masyadi Aldo,5,2026-09-10,mantap jiwa,0,,,4.18.0
91,Mochamad Ryan Muzaki,1,2026-09-10,FC trus,0,,,4.18.0
92,Muhamad Rafi Arifin,1,2026-09-10,sediakan fitur download pdf untuk surat rujukan baru saya kasih bintang 5,0,,,
93,H yx,1,2026-09-10,apasih tiba² buat daftar online nya hilang aneh banget,0,,,
94,Agus Nur alamsyah,5,2026-09-10,mantap,0,2025-10-21,"Mohon maaf atas ketidaknyamanannya. Terkait kendala yang dialami, Anda dapat menyampaikan kendala dengan melampirkan tangkapan layar/rekam ke alamat email : carecenter@bpjs-kesehatan.go.id untuk kemudahan proses tindak lanjut. Terima kasih.",4.18.0
95,Zulfandia,5,2026-09-10,sangat membantu,0,,,4.18.0
96,Antonius Adi,4,2026-09-10,"bagus dan sangat membantu,tidak perlu harus ke kantor pusat untuk mengubah data.tetap semangat.",0,,,4.18.0
97,Mach Haris,5,2026-09-10,keren perubahan datanya cepat,0,,,4.18.0
98,Wahyudi Wahyudi,5,2026-09-10,mudah di akses,0,,,
99,candy,3,2026-09-10,"mau verifikasi wajah gagal terus, padahal udah ikutin instruksi. tempat juga udah terang. siapa si ini tim IT nya. tolong SEGERA diperbaiki. mau kontrol aja dipersulit.",0,,,4.18.0
100,Gace Imut,1,2026-09-10,Apaan ini tau tau logout... sendiri.. Percuma jg pake aplikasi bgini ga bykk pengaruh jg.. Malah Ribet. logout sendiri.,0,,,
101,Dewi,5,2026-09-10,sangat membantu,0,,,4.18.0
102,Achmad pupun istiawan,1,2026-09-10,rekam wajah terlalu lama,0,,,
103,Hamba' Allah,1,2026-09-10,"No nik sdh sesuai ktp di blng slh, apk sampah",0,,,4.18.0
104,Beni Saputra,5,2026-09-10,jos,0,,,4.16.0
105,Sis Wanto,4,2026-09-10,knp aplikasi JKN tidak bisa di download ulang setelah di paus dan hilang dr aplikasi play store,0,,,
106,Risky Aditiya,1,2026-09-10,lama bet verifikasi sms nya cok 300 detik,0,,,4.18.0
107,Muhammad Fauzan,1,2026-09-10,"kak mau nanya kan saya ingin membayar tunggakan kis/BPJS ,saya ingin bayar dengan membayar pake BCA tapi kenapa gak ada kak tolong jawab kak🙏",0,,,4.18.0
108,Aw we,5,2026-09-10,sangat baik,0,,,4.18.0
109,Santi Shyantie,5,2026-09-10,mantap,0,,,4.18.0
110,Mayana veronika Sembiring,5,2026-09-10,sangat membantu tanpa harus ke kantor nya 🥰,0,,,4.18.0
111,AbANg TamFan,1,2026-09-10,"Rata² apl buatan pemerintah terkesan asal asalan,. padahal dana pembuatannya sangat besar. sering error, logout sendiri.",1,,,4.18.0
112,fahmy saleh,5,2026-09-10,mantab deh,0,,,4.18.0
113,Hendra Rock,1,2026-09-10,"aplikasi aneh dua Minggu daftar tinggal dipermudah kirim sms aja ko repot gagal terus,. kalo. gak niat buat aplikasi mnding offline aja lah",0,,,
114,Samsu Syam,2,2026-09-10,"aplikasi ribet ,minta terus login,kadang keluar sendiri",0,,,4.18.0
115,Dedy Irawan,5,2026-09-10,sangat membatu,0,,,4.18.0
116,makunimau family,5,2026-09-10,sangat membantu untuk meningkatkan pelayanan BPJS,0,,,4.18.0
117,Aris Vauzi,5,2026-09-10,excellent,0,,,4.18.0
118,Lestari Asha,5,2026-09-10,Alhamdulillah app JKN Mobile skrg sdh semakin bagus. Membantu banget kalau mau periksa ke faskes/RS. Semoga ke depan makin bagus lagi,3,,,4.18.0
119,Lukman Hakim,5,2026-09-10,mantap,0,,,4.18.0
120,WITTIN INDRASARI,1,2026-09-10,aplikasi nya sering lemot dan keluar sendiri,0,,,
121,rani febritriani,1,2026-09-10,"bojs bobrok. udh didaftarin tindakan tgl 10 sep, de sebelum puasa krn doketer mau hj, malah eror, mundur jd tgl 15. dikira g punya kerjaan leha leha doang.",0,,,4.18.0
122,Blackdoff69 doff69,1,2026-09-10,sering error,0,,,
123,Arie Muhlapin,5,2026-09-10,Memudahkan pelayanan masyarakat,0,,,4.18.0
124,Sri Muliati,5,2026-09-10,Sangat membantu,0,,,4.18.0
125,Widya Safitri Zebua,1,2026-09-10,TOLONG YA DI PERBAIKI INI APLIKASI. BUKANNYA MEMUDAHKAN MALAH NYUSAHIN! BANYAK BUG! NGELAG PARAH! SERING TIBA-TIBA LOGOUT SENDIRI!,0,,,4.18.0
126,Bambang Wijonarko,1,2026-09-10,Perbaiki dan upgarde ai face recognition-nya,0,,,4.18.0
127,Penyejuk Hati ChanneL,5,2026-09-10,That Simple,0,,,4.18.0
128,Rahmat Fauzi,5,2026-09-10,aplikasi yg bagus dan sangat membantu sekali,0,,,4.18.0
129,Agung Hendra,5,2026-09-10,good,0,,,4.18.0
130,Ghita,5,2026-09-10,kerja bagus,0,,,4.18.0
131,Mohammad Wakid Arvian,5,2026-09-10,Sangat membantu,0,,,4.18.0
132,areska fatrisa,1,2026-09-10,mau buka aplikasi lama dan lemot membuat susah orang berobat yg lagi sakit aplikasi ga guna,0,2025-09-17,"Mohon maaf atas ketidaknyamanannya. Terkait kendala yang dialami, Anda dapat menyampaikan kendala dengan melampirkan screenshot/video ke alamat email : carecenter@bpjs-kesehatan.go.id untuk kemudahan proses tindak lanjut. Terima kasih.",4.18.0
133,Purnoto,5,2026-09-10,ini gimana ya? ketimbang mau log in aja susah banget,0,,,4.18.0
134,Asril Sitompul,5,2026-09-10,sangat baik,0,,,4.17.0
135,sri sulasmi,5,2026-09-10,baik,0,,,4.16.1
136,Toy Mahendra25,5,2026-09-10,sangat puas,0,,,4.18.0
137,rani aja,5,2026-09-10,melakukan perubahan data prosesnya hanya hitungan menit. terimakasih mobile jkn,0,,,4.18.0
138,Seni Trimuliani,3,2026-09-10,udah bagus sih cuma ini kenapa ya suka gagal terhubung ke server rs gitu buat rujukan,0,,,4.18.0
139,vellaa vellaa99,1,2026-09-10,gajelas,0,,,
140,Herry GrdTM77,1,2026-09-10,apk lawak bug truss,0,,,4.18.0
141,Fajar 22,5,2026-09-10,Sangat Mudah Jika Ingin Ganti Faskes,0,,,4.18.0
142,Rizal Fikriyan,1,2026-09-10,verifikasi wajahnya susah banget udh gitu kameranya aneh,0,,,4.18.0
143,RIAN PRANATA,1,2026-09-10,"tau"" logout sendiri, ga bisa login, katanya ada gangguan apa gitu di suruh nunggu beberapa saat, tapi sampek berhari"" sama aja",0,,,4.18.0
144,aditpriabaik,5,2026-09-10,"aplikasi kagak jelas monyet, kode Verifikasi aja lamanya kagak ngotak. pada niat bikin aplikasi gasi",0,,,4.18.0
145,Dedi Yusuf,5,2026-09-10,sangat berguna,0,,,4.18.0
146,salh jvhjk,1,2026-09-10,TOLOL MENYUSAHKAN ORANG AJA DISISI PENDAFTARAN,0,,,4.18.0
147,Jhon Smith,1,2026-09-10,"apk paling tholol yg pernah saya install, mending lu pada ga ush sama sakali install apk ini, apk haram",0,,,4.18.0
148,Shine Daniel,1,2026-09-10,"Masa sudah sampai seminggu tidak bisa login. Keterangan pemintaan belum dapat diproses. Sudah clear cache, cek update aplikasi, password benar.",0,,,4.18.0
149,orang awam,1,2026-09-10,aplikasi pemerintah wuelek Kabeh piye Iki rek dana aplikasi y seh di korupsi masak nik bener loging tidak bisa apa lah pemerintah,0,,,4.18.0
150,JEPE,1,2026-09-10,"wah sering erornya, tolong perbaiki systemnya dong, kasian yang poli pakai aplikasi, kadang tidak bisa login, kadang susah cek in, kadang mental, jadi kalau berangkat awal tetep harus antri umum. hmmm",0,,,4.18.0
151,Fuddin Zuhri,5,2026-09-10,oke,0,,,4.18.0
152,Beras Habis,1,2026-09-10,"tolong dong masa dikit"" logout .. mulai ulang masukin no ktp dll .RIBEEETT... apalagi buat emak emak .. apalagi klo lagi urgent buru buruu . setiap mau pakee masa harus login muluu ... udah bertahun tahun masih kaya gini . jngn bkin orng ribeeett dong !!!!",0,,,
153,Supri Adi,5,2026-09-10,sangat membantu sekali,0,,,4.17.0
154,Suci Iprs,1,2026-09-10,"entah yang jelek apk nya atau faskes yang di tuju. Kenapa dokter yang aku tuju selalu full padahal aku wes yang war antrian di jam buka dan mendaftar untuk besok tapi tau - tau sudah full, kayak menit 01 lohh tapi 10 antrian sudah full tapi beberapa menit kemudian eh sudah antrian 21 dan full dan aku ga dpt. ini maksudnya apa yaa? apa bisa pakai ordal? ini kenapa update nya gak updatee sih?. mana pas ada kesempatan ambil antrian ada aja pemberitahuan yang ga penting jadinya antrianku ke salip.",0,,,4.18.0
155,Yuli Yulianty,1,2026-09-09,"tidak bisa masukan no hp , gagal terus",0,,,4.18.0
156,Yuu okazaki,2,2026-09-09,"kenapa tidak bisa di instal di hp saya, aplikasi bertuliskan (perankat ini tidak bisa u tuk hp anda)kenapa begitu? mohon di jawab cepat",0,,,
157,Ardi Maulidin,1,2026-09-09,"apk pemerintah pasti tolol ga guna jelek bngt anj apk nya, vermuk msh jlk otp make pulsaa ga jls anj orang buru² brobat mati dluan d jalan ngurus gnian",0,,,4.18.0
158,Abah Tea,4,2026-09-09,awalnya susah sekali diakses..mudah2an dikemudian hari lebih mudah supaya lebih cepat proses layanannya,0,,,
159,Crayon Shinchan,1,2026-09-09,pas daftar dipersulit mulu,0,,,
160,Syahrul Palah,5,2026-09-09,baguss untuk fasilitas aplikasinya,0,,,4.18.0
161,Hendri irdneH,1,2026-09-09,Hp versi Android lama jadi gak kompatibel. Mohon agar dapat d gunakan pada versi Android yg lebih rendah,0,,,4.13.1
162,Kayla Azahra,1,2026-09-09,"sakitnya sekarang suruh berobatnya besok,,daftar antrian sekarang buat berobat besok..",0,,,4.18.0
163,Slamet Susanto,1,2026-09-09,"aplikasi nya susah bgt untuk di instal, pdhl penyimpanan tlpn cukup.",0,,,
164,Nasi Uduk,1,2026-09-09,"tiba"" logout, baru buka close sendiri, nggak bisa pakai wifi maunya data padahal lancar jaya, pokoknya banyak kendalanya lah pokoknya",0,,,4.18.0
165,ANDI PUTRA ASMARI,1,2026-09-09,gk bisa daftar di rs,0,,,4.18.0
166,putri varta,1,2026-09-09,"tidak bisa login, password salah terus, pdahal sudah benar..",0,,,4.18.0
167,MUHAMAD REZA GAUTAMA,5,2026-09-09,"ok,proses cepat perpindahan faskes dan perawatan di rs rujukan.",0,,,4.18.0
168,Irwan Moiskep,5,2026-09-09,mantap,0,,,4.18.0
169,"Abdul, rojak Parapecinta sholawat",5,2026-09-09,mantap,0,,,4.18.0
170,Heryanihartono,4,2026-09-09,cukup membantu,0,,,4.18.0
171,Irawan KenNantan77,5,2026-09-09,ngak bisa daftar,0,,,4.18.0
172,Dedy Sibarani,5,2026-09-09,mantap,0,,,4.18.0
173,Wongjowo Tulen (Sularto),5,2026-09-09,sangat membantu,0,,,4.18.0
174,Najah Najah,1,2026-09-09,jkn lu yang bener tiba tida logout begitu aja giliran disuruh login malah gak bisa lu gimana sih apk seketika gak bermanfatt bangett ihh keselll jkn yang bener donggh gimansih ini yang efektig gak jelas amat,0,,,4.18.0
175,Nenok Bonek,5,2026-09-09,semuanya dipermudah adanya jkn mobile,0,,,4.18.0
176,Amanda Fairuz,5,2026-09-09,"mantap, layanan mudah dan cepat",0,,,4.18.0
177,Amirudin Lutfi,1,2026-09-09,LOGIN GAGAL,0,,,
178,Izzahra Reffisabilla,1,2026-09-09,"Minta kode verif aja ga masuk2, jelek banget.",0,,,4.18.0
179,Linda Risnawati,3,2026-09-09,Sekarang di versi terbaru di hp saya udah tidak kompetibel lg..,0,,,4.15.0
180,ARIS SUSENO,5,2026-09-09,bagus dan cepat meski kadang ada beberapa bug yg muncul,0,,,4.18.0
181,amaliaa,1,2026-09-09,pemerintah tolol bikin apk gjls gabisa verivikasi no telp padahal no nya masih aktif,0,,,
182,SITI Masanah,5,2026-09-09,lebih simple..,0,,,
183,Fina Erliana,5,2026-09-09,"bagus bermanfaat banget, aku pindah faskes 1 aja gampang karena kemarin masih faskes bawaan sekarang udah di ganti yang sama kaya suami",0,,,4.18.0
184,Bank Iful,5,2026-09-09,sangat terbantu ga ribet antri,0,,,4.18.0
185,Slamet Mulyadi,5,2026-09-09,Ga bisa di download,0,,,4.8.1
186,Jeni Sabilah,1,2026-09-09,"Aplikasinya sangat buruk. masa masukin kode otp susah bgt pdhl no nya aktif sampe ganti"" no juga tetep sama ngga masuk""👎👎👎👎",0,,,4.18.0
187,Imam Fahrudin,1,2026-09-09,"mau daftar susah pas tiba proses verifikasi email saat buka aplikasi Gmail otomatis langsung kembali dari awal, padahal aplikasi tidak saya close, pindah dikit sudah kembali dari awal jadi harus pakek dua perangkat mau daftar. Tolong diperbaiki. selain itu banyak yang ngeluh juga di komen untuk aplikasi sering error. Ayolah segera diperbaiki, aplikasi kesehatan Lo ini banyak dibutuhkan masyarakat.",0,,,4.18.0
188,Reza Alhafis,5,2026-09-09,bagus sangat bermanfaat,0,,,4.15.0
189,antox totok,1,2026-09-09,tidak bisa di download,0,,,
190,Dedy Sutiadi,5,2026-09-09,baik,0,,,4.16.0
191,Juwita Jihan,5,2026-09-09,puas,0,,,4.18.0
192,Ria mariatun,4,2026-09-09,"bagus, dan lengkap",0,,,4.18.0
193,Eko Saputro,5,2026-09-09,respon sangat cepat,0,,,4.18.0
194,Heri Kusnadi Kusnadi,5,2026-09-09,mantab dn bagus aplikasi nya,0,,,
195,NA Jasaweb,1,2026-09-09,Banyak fitur untuk verifikasi yang nge bug,0,,,
196,Fata Morgana,1,2026-09-09,"sudah di faskes 1 meminta rujukan & berhasil mengambil antrian online di faskes rujukan tingkat lanjut, jarak 2 hari mau kontrol kanker mendadak antrian online di aplikasi JKN hilang, saya punya bukti screenshot no antrian onlinenya.. setelah konfirmasi & saya jelaskan permasalahan aplikasi JKN saya ke RS via wa katanya masih terdaftar kontrol jam 7 tgl 9 ini. setelah hari H nya nya datang ke RS tiba2 zonk katanya tidak terdaftar, sudah jauh2, obat istri pas habis, seperti dipermainkan aja.",0,,,4.18.0
197,Mardi Aja,5,2026-09-09,ok,0,,,4.18.0
198,Inti Antanori,5,2026-09-09,awesome,0,,,4.16.1
199,Juan Deki,4,2026-09-09,sangat membantu tapi cukup lola😭,0,,,4.18.0
200,arman KBM,4,2026-09-09,kenapa tdk bisa download,0,,,
201,Destari Putri,1,2026-09-09,jelek banget gagal terus diverif muka,0,,,
202,liana tanjung,5,2026-09-09,terbaik,0,,,4.18.0
203,jaly prasetya,4,2026-09-09,semakin bagus dan semakin membantu masyarakat untuk bisa lebih mudah,0,,,4.18.0
204,Hirazenyusi,1,2026-09-09,"akun nya suka keluar keluar sendiri, trus pas mau masukin lagi malah gak bisa. aneh. jangan sok sokan an modernisasi dah kalo kek begini. ngeribetin... mendingan daftar gak usah pake aplkasi ! langsung aja daftar dirumah sakit nya.",0,,,4.18.0
205,Verawati Bilondatu,5,2026-09-09,sangat baik,0,,,4.18.0
206,Sadar Simbolon,5,2026-09-09,bagus,0,,,4.18.0
207,Saifudin Zuhri,5,2026-09-09,siiip,0,,,4.18.0
208,Abdul,5,2026-09-09,aplikasi bagus,0,,,4.18.0
209,Yogi Yoga Swara,1,2026-09-09,"kirim otp aja susah,aplikasi buruk",0,,,4.18.0
210,Rohamah Chantik,5,2026-09-09,semua jadi mudah 😘,0,,,4.18.0
211,Maddani,5,2026-09-09,mantappp...bagus sekali,0,,,4.18.0
212,Abu Nizhaam Sakkajha,5,2026-09-09,"Maa syaa Allah, Aplikasi JKN sangat mudah di akses dan sangat membantu,,.! 😊🙏🙏",0,,,4.18.0
213,Yasfi Assidqi,1,2026-09-09,"app apa ini yaa keterlaluan bgt, habiskan uang rakyat aja, verifikasi nomor hp aja gabisa bisa",0,,,4.18.0
